,venue_name,id,capacity,street,zip,latitude,longitude,metro_area,country,city_name
0,Oracle Arena,615,,7000 Coliseum Way,94621,37.7515541,-122.2015715,SF Bay Area,US,Oakland
4,SNHU Arena,30498,,555 Elm Street,03101,42.9860207,-71.463052,Manchester,US,Manchester
5,PNC Arena,1770713,19772.0,1400 Edwards Mill Road,27607,35.803475,-78.721933,Raleigh,US,Raleigh
11,NRG Arena,2590108,8000.0,1 Reliant Park,77054,29.6848334,-95.4081877,Houston,US,Houston
13,BB&T Arena,513066,,500 Louie B. Nunn Dr.,41099,39.03178,-84.46331,Cincinnati,US,Highland Heights
17,SIU Arena,5996,,,62901,37.7272727,-89.2167501,St Louis,US,Carbondale
21,TECO Arena,57383,,,,,,Cape Coral,US,Estero
22,Oracle Arena & O.co Coliseum,2589683,,7000 Coliseum Way,,37.7515541,-122.2015715,SF Bay Area,US,Oakland
27,SRC Arena,1577779,,"4585 West Seneca Tpk, Onondaga Community College",13205,43.003691,-76.19737,Rochester,US,Syracuse
35,NYC Arena,1865623,,91-12 144th Pl.,11435,40.700173,-73.810379,New York,US,Jamaica
41,IMA Arena,110872,,,,,,Detroit,US,Flint
44,DECC Arena,4013174,,,55802,46.7534,-92.06816,Twin Cities,US,Duluth
46,CSU Arena,256256,,,,,,Cleveland,US,Cleveland
47,UTC Arena,332261,,,,,,Charlotte,US,Charlotte
49,LA Arena,401761,,,,,,Los Angeles,US,Panorama City
50,Boondocks Pub,3650229,,2909 N. Dirksen Parkway,62702,39.8461549,-89.6049651,Springfield,US,Springfield
51,Boondocks Pub & Grill,3493509,,,,38.599243,-83.3187952,Manchester,US,Vanceburg
53,The Roxy,928,,279 Tremont Street,02116,42.3500295,-71.0652348,Boston / Cambridge,US,Boston
54,The Roxy Theatre,1300,500.0,9009 W. Sunset Blvd.,90069,34.09071,-118.38797,Los Angeles,US,West Hollywood
55,The Roxy,767556,,7230 West 75th Street,66204,38.9936,-94.66935,Overland Park,US,Overland Park
57,The Roxy,78157,,515 W. 18th St.,10011,40.7451986,-74.0075711,New York,US,New York
58,The Roxy,252001,,2110 E. Highland Ave.,85016,33.5057312,-112.0370168,Phoenix,US,Phoenix
65,The Roxy Lounge,30860,,2549 Welton Street,80205,39.7537204,-104.9796384,Denver,US,Denver
66,The Roxy Encinitas,3499364,,517 S COAST HWY 101,92024,33.0456822,-117.293543,San Diego,US,Encinitas
67,The Roxy Hotel,3120379,200.0,#2 Ave. of the Americas,10013,40.71934,-74.00496,New York,US,New York
69,The Roxy,3159819,,,,39.73924,-104.99025,Denver,US,Denver
73,The Roxy Bamboo Bar,1251081,,927 N. Delaware Ave.,19123,39.96303,-75.135212,Philadelphia,US,Philadelphia
76,The Roxy,4050449,,9009 Sunset Blvd,90069,34.09086,-118.38797,Los Angeles,US,Los Angeles
79,The Roxy Theater,95490,,,,,,San Diego,US,San Diego
81,The Dawn Theater (roxy),1350151,,110 N Broad Street,49242,41.9226363,-84.6320094,Toledo,US,Hillsdale
83,The Roxy Event Center,2687318,,102 S. Joplin Ave,64801,37.0905765,-94.5143051,Springfield,US,Joplin
86,The Roxy,1611553,,909 Vine Street,45202,39.1056639,-84.5141749,Cincinnati,US,Cincinnati
87,The Roxy,3614914,,71 Wall Street,,41.1168744,-73.4138681,Bridgeport,US,Norwalk
88,The Roxy,3333849,,79 Washington Street,02903,41.823807,-71.414551,Providence,US,Providence
89,The Roxy,425941,,,,,,Burlington,US,Burlington
90,The Roxy,107278,,,,,,Tucson,US,Tucson
91,The Roxy,1456158,,367 E Main St,40507,38.042023,-84.491594,Lexington,US,Lexington
92,The Roxy,4341741,,"13419 w 62nd Terrace Shawnee, Ks",66216,39.01534,-94.74159,Overland Park,US,Shawnee
97,The Roxy Theatre,4085449,,,,,,Atlanta,US,Atlanta
99,The Roxy Ballroom,129404,,,,,,Atlanta,US,Atlanta
100,The Roxy Theatre,2455444,,827 Meridian St,,36.185942,-86.767791,Nashville,US,Nashville
101,The Roxy Theater,1642643,,120 N 2nd St,,46.247819,-114.156737,Hamilton,US,Hamilton
102,Tennessee Theatre,683,,604 S. Gay St.,37902,35.964137,-83.917552,Knoxville,US,Knoxville
103,Tennessee Theatre,45121,,,,,,Nashville,US,Nashville
104,Tennessee Williams Theatre,407901,,5901 College Road,33040,24.5843489,-81.744976,Key West,US,Key West
105,"Clarence Brown Theatre, University of Tennessee",978631,,1714 Andy Holt Ave.,37996,35.9534143,-83.930456,Knoxville,US,Knoxville
106,Scheels Arena,1164826,,5225 31st Ave South,58104,46.83555,-96.8761,Fargo,US,Fargo
107,San Manuel Casino,1193,,777 San Manuel Boulevard,92346,34.1503014,-117.2286606,Los Angeles,US,Highland
108,"Rock & Brews, San Manuel Casino",3508014,200.0,777 San Manuel Blvd,92346,34.1504981,-117.229242,Los Angeles,US,Highland
109,Tukut Lounge at San Manuel Casino,4170279,,777 San Manuel Blvd,92346,34.15058,-117.22914,Los Angeles,US,Highland
110,"Murat Theatre, Old National Centre",535651,2681,502 N New Jersey St,46204,39.77465,-86.1515,Indianapolis,US,Indianapolis
111,"Wang Theatre, Boch Center",886876,,270 Tremont Street,02116,42.35003,-71.06523,Boston / Cambridge,US,Boston
112,Boch Center Wang Theatre,4012654,3500.0,270 Tremont St,02116,42.35028,-71.06496,Boston / Cambridge,US,Boston
113,Boch Center/wang Theatre,3978774,,,,,,Boston / Cambridge,US,Boston
114,The Van Buren,3477604,,Van Buren,85003,33.45141,-112.07819,Phoenix,US,Phoenix
115,First St. & Van Buren St.,2962508,,,85004,33.4528292,-112.0685027,Phoenix,US,Phoenix
116,Evan's on Van Buren,3707654,,1714 W. Van Buren St,85007,33.4515503,-112.0964669,Phoenix,US,Phoenix
117,Four Winds Field at Coveleski Stadium,4213994,,,46601,41.6724,-86.25395,Fort Wayne,US,South Bend
118,First Interstate Center for the Arts,4092359,,334 W. Spokane Falls Blvd.,99201,47.66056,-117.41682,Spokane,US,Spokane
119,Sanford Pentagon,2769458,,2210 W. Pentagon Place,57107,43.59094,-96.75555,Sioux Falls,US,Sioux Falls
120,Papa Murphy's Park at Cal Expo,4185369,,,95815,38.59632,-121.4399,Sacramento,US,Sacramento
121,The Fillmore,6239,1200.0,1805 Geary Boulevard,94115,37.78426,-122.4333,SF Bay Area,US,San Francisco
122,The Fillmore Detroit,785,2900.0,2115 Woodward Ave.,48201,42.33781,-83.05173,Detroit,US,Detroit
123,The Fillmore Charlotte,68889,2000.0,820 Hamilton St.,28206,35.23942,-80.84584,Charlotte,US,Charlotte
124,The Fillmore Silver Spring,1448428,2000.0,8656 Colesville Road,20910,38.99748,-77.02793,Washington,US,Silver Spring
125,The Fillmore Miami Beach at Jackie Gleason Theater,244628,2700.0,1700 Washington Ave.,33139,25.79292,-80.13314,Miami,US,Miami Beach
126,The Fillmore Philadelphia presented by Cricket Wireless,3019369,,29 East Allen Street,19123,39.96609,-75.13663,Philadelphia,US,Philadelphia
127,The Foundry at the Fillmore,3229064,,29 E Allen St,19123,39.96609,-75.13663,Philadelphia,US,Philadelphia
128,The Fillmore,4113329,,,,,,New Orleans,US,New Orleans
129,The Fillmore Poster Room,1511043,,1805 Geary Blvd.,94115,37.7842566,-122.4332961,SF Bay Area,US,San Francisco
130,The Underground - Fillmore Charlotte,3345759,,820 Hamilton St,28206,35.2403,-80.84531,Charlotte,US,Charlotte
131,The Fillmore,1521813,,310 N Fourth Street,54403,44.9592011,-89.6269379,Madison,US,Wausau
132,The Fillmore,4338662,,29 E Allen St,19123,39.96556,-75.13506,Philadelphia,US,Philadelphia
133,The Fillmore Room,3194324,120.0,146 10th Avenue.,10011,40.7452371,-74.0056649,New York,US,New York
134,The Millard Fillmore Presidential Library,3051254,150.0,15617 Waterloo Rd,44110,41.5713,-81.57127,Cleveland,US,Cleveland
135,The Fillmore,72334,,,,,,Sacramento,US,Sacramento
136,The Fillmore,1961434,,,,,,Springfield,US,Springfield
137,The Fillmore South,3534369,,5425 Appalachian Hwy,30513,34.8769809,-84.2995417,Blue Ridge,US,Blue Ridge
139,The Fillmore Pub,3455884,,1004 E. 15th St.,75074,33.019468,-96.700341,Plano,US,Plano
140,The Fillmore At Irving,129772,,,,,,Atlanta,US,Atlanta
141,The Billmore,302636,,,,,,Denver,US,Denver
142,Theatre of Living Arts (TLA),28639,800.0,334 South Street,19147,39.94131,-75.14868,Philadelphia,US,Philadelphia
143,Lorain County Fairgrounds,813621,,23000 Fairgrounds Road,44090,41.16454,-82.23148,Wellington,US,Wellington
144,Atlanta Symphony Hall,2471,,1280 Peachtree Street,30309,33.7892284,-84.3849682,Atlanta,US,Atlanta
145,Atlanta Symphony Hall Woodruff Arts Center,3534274,,1280 Peachtree Street,30303,33.78916,-84.38494,Atlanta,US,Atlanta
146,Ford Idaho Center Amphitheater,4007404,,,83687,43.61894,-116.53469,Boise,US,Boise
147,Les Schwab Amphitheater,51605,,520 SW Powerhouse Drive #626,97702,44.04592,-121.31535,Salem,US,Bend
148,Tin Roof - St. Louis,3603774,,1000 Clark Ave.,63102,38.62438,-90.19687,St Louis,US,St Louis
149,Grand Casino Mille Lacs Event Center,629101,,777 Grand Avenue,56359,46.1801794,-93.7588979,Twin Cities,US,Onamia
150,Reggie's Rock Club,540136,300,2109 South State Street,60616,41.8540522,-87.6269514,Chicago,US,Chicago
151,"Wilson Center, Cfcc",4013829,,,28401,34.30237,-77.98529,Fayetteville,US,Wilmington
152,Howard L. Schrott Center for the Arts,2553994,,W 46th St,46208,39.83943,-86.16555,Indianapolis,US,Indianapolis
153,Frederik Meijer Gardens,4523,,1000 E Beltline Ave Ne,49525,42.980255,-85.585592,Grand Rapids,US,Grand Rapids
154,Frederik Meijer Gardens & Sculpture Park,4288599,,,,,,Grand Rapids,US,Grand Rapids
155,Dr. Phillips Center for the Performing Arts,2810648,,445 S Magnolia Ave,32801,28.53774,-81.37745,Orlando,US,Orlando
156,Seneff Arts Plaza at Dr. Phillips Center for the Performing Arts,3516919,,,,28.5383355,-81.3792365,Orlando,US,Orlando
157,Rams Head On Stage,522876,350,33 West St.,21401,38.97831,-76.49463,Baltimore,US,Annapolis
158,ArtsRiot,3126329,,400 Pine St,05401,44.4681,-73.21474,Burlington,US,Burlington
159,Arts Riot Studio,2110809,,400 Pine Street,05401,44.468216,-73.214778,Burlington,US,Burlington
160,Columbia's Live Music Block at Tin Roof & the Senate,4159689,,,20201,34.00071,-81.03481,Columbia,US,Columbia
161,"Shaftman Performance Hall, Jefferson Center",115524,,"541 Luck Ave. SW, Ste. 221",24016,37.26985,-79.95114,Winston-Salem,US,Roanoke
162,Xcite Center at Parx Casino,3730754,,2999 Street Road,19020,40.11817,-74.95339,Philadelphia,US,Bensalem
163,"Dreyfoos Concert Hall, Kravis Center for the Performing Arts",52953,,701 Okeechobee Boulevard,33401,26.706871,-80.0611,Fort Lauderdale,US,West Palm Beach
164,Sunshine Studios Live,1233931,,3970 Clearview Frontage Rd,80911,38.7722519,-104.7399526,Colorado Springs,US,Colorado Springs
165,Sunshine Studios,4074904,,3970 Clear View Frontage Road,80911,38.7742,-104.73961,Colorado Springs,US,Colorado Springs
167,El Club,3237294,,4114 Vernor Hwy,48209,42.3214,-83.09366,Detroit,US,Detroit
168,El 'n' Gee Club,66065,,86 Golden St.,06320,41.3538099,-72.0959999,Providence,US,New London
169,El Potrero Club,35718,,4959 Patata St.,90201,33.95565,-118.18048,Los Angeles,US,Cudahy
170,El Rancho Club,617576,,1450 Monument Blvd .,94520,37.95209,-122.04481,SF Bay Area,US,Concord
171,El Centenario VIP Night Club,2861623,,7990 Monterey Road,95020,37.0162178,-121.5728057,Gilroy,US,Gilroy
172,El Paso Comic Strip Comedy Club,50119,,6633 N Mesa St,79912,31.83327,-106.54158,El Paso,US,El Paso
173,El Club,1320836,,6901 Pacific Blvd.,90255,33.976684,-118.225623,Los Angeles,US,Huntington Park
174,El Gran Patron Night Club,3516064,,2638 Main St.,91911,32.5953999,-117.0768253,San Diego,US,Chula Vista
175,El Club Patron,1976619,,5850 W. University Blvd. Suite. 140,79760,31.85468,-102.446477,Lubbock,US,Odessa
176,El Rodeo Night Club,1753518,,24805 Alessandro Blvd #1,92553,33.9159208,-117.2298278,Los Angeles,US,Moreno Valley
180,El Roco Night Club,2012649,,1730 13th Avenue N # 2,58203,47.9323671,-97.0511934,Fargo,US,Grand Forks
181,Club El Bajio,3491324,,1600 S. College Ave,77801,30.654507,-96.370727,Austin,US,Bryan
182,El Dorado Night Club,3813834,,218 S 4th Ave.,99301,46.2288582,-119.0918874,Spokane,US,Pasco
183,El Papio Night Club,3162879,,2275 Ellsworth Rd,48197,42.2305477,-83.6454407,Detroit,US,Ypsilanti
184,El Corona Nite Club,3629904,,7503 W US Highway 90,78227,29.4009721,-98.6385355,San Antonio,US,San Antonio
186,El Patron Night Club,2524594,,1465 Jerome ave,10452,40.841435,-73.917212,New York,US,Bronx
187,El Diamante Club,3730199,,3181 W. Alameda Ave.,80219,39.711423,-105.028442,Denver,US,Denver
188,El Niguel Country Club,3315819,,23700 Club House Dr,,33.5115923,-117.7160175,Orange County,US,Laguna Niguel
190,el toro night club,2798398,,2470 san bruno ave.,94134-1526,37.7306713,-122.4052746,SF Bay Area,US,San Francisco
191,El Palacio Night Club,2948783,,224 w. Main st.,95340,37.2997556,-120.4795421,Modesto,US,Merced
197,Club El Dorado,2638128,,525 Sable Blvd.,80011,39.7255755,-104.8175574,Denver,US,Aurora
198,El Palenque Night Club,2802888,,1115 NW 22nd Ave.,33125,25.7837681,-80.2312337,Miami,US,Miami
199,El sol club,2551604,,500 valley ave.,35209,33.473747,-86.8192,Birmingham,US,Birmingham
200,El Centenario Night Club,3275744,,3220 Dixie Highway,45014,39.3630434,-84.5426167,Cincinnati,US,Fairfield
201,El Patio Night Club,965151,,1750 W. La Palma,92801,33.846553,-117.943506,Los Angeles,US,Anaheim
202,El Nuevo Terre Night Club,3724254,,44950 Valley Central Wy,93536,34.6985461,-118.1708555,Los Angeles,US,Lancaster
204,El Bravo Night Club,2561369,,723 N. RIDGEWOOD DR,33870,27.502772,-81.4388502,Sebring,US,Sebring
205,El Capri Night Club,3808659,,2135 E Van Buren St,85006,33.4510458,-112.0358669,Phoenix,US,Phoenix
206,El Rodeo Night Club,3810064,,990 N Pacific Hwy,97071,45.1436232,-122.8374348,Salem,US,Woodburn
207,El Terre Night Club,2588608,,44950 VALLEY CENTRAL WAY SUITE 104,93536,34.6981605,-118.1731524,Los Angeles,US,Lancaster
208,Club el Palenque,3719054,,1880 Carter Ave.,10457,40.8475157,-73.9014852,New York,US,Bronx
209,El Charro Night Club,1587023,,221 South 9th Street,68508,40.811974,-96.708947,Lincoln,US,Lincoln
210,El Volcan Night Club,4034679,,4920 Northup Ave.,62201,38.61896,-90.26718,St Louis,US,St Louis
212,El Dorado Night Club,4118734,,1023 N 1st St.,98901,46.61598,-120.51146,Tacoma,US,Yakima
213,El Club Patio,3946964,,4114  W Vernor Hwy,48209,42.3214,-83.09366,Detroit,US,Detroit
216,Dick's Sporting Goods Park,15961,,6000 Victory Way,80022,39.801481,-104.891968,Denver,US,Commerce City
217,"The Fields, Dick's Sporting Goods Park",539621,,,,,,Denver,US,Denver
218,War Memorial Field,1882278,,,83864,48.27658,-116.55347,Sandpoint,US,Sandpoint
219,War Memorial Field,2773813,,287 Nepperhan ave.,10701,40.937391,-73.890981,Yonkers,US,Yonkers
220,"Jonah Field, War Memorial Stadium, University of Wyoming",2752713,,2111 Grand Avenue,82070,41.3098191,-105.5670568,Cheyenne,US,Laramie
221,Michigan Theater,2103,1700.0,603 East Liberty Street,48104,42.2793857,-83.7418993,Detroit,US,Ann Arbor
222,Michigan Theater,649401,,,,,,Escanaba,US,Escanaba
223,The Michigan Palace,43008,4000.0,238 Bagley Street,48226,42.334458,-83.053122,Detroit,US,Detroit
224,The Pearl Theater,1228321,,,,,,Michigan City,US,Michigan City
225,"Rudy Hart Theater, Marquette Catholic High School",3500364,,306 W 10th St,46360,41.71086,-86.9026,Michigan City,US,Michigan City
226,Michigan Theater...notre Dame,3366789,,,,41.7001908,-86.2379328,Notre Dame,US,Notre Dame
227,Murry's,7702,,3107 Green Meadows Way,65201,38.91654,-92.33703,St Louis,US,Columbia
228,Maryland Hall for the Creative Arts,37208,,801 Chase St.,21401,38.97381,-76.50568,Baltimore,US,Annapolis
229,Lubbock Civic Center,36969,,1501 Mac Davis Lane,79401,33.5889,-101.85063,Lubbock,US,Lubbock
230,Civic Center Auditorium,305216,,,,,,Lubbock,US,Lubbock
231,Reeves County Civic Center,3964279,,1520 S Cedar St,79772,31.4122261,-103.4872629,Lubbock,US,Pecos
232,Lubbock Civic Center Theatre,2847318,,,79401,33.58465,-101.85211,Lubbock,US,Lubbock
233,Abilene Civic Center,36970,,1100 North 6th St.,79601,32.45477,-99.73377,Dallas - Fort Worth,US,Abilene
234,Abilene Civic Center - Exhibit Hall,3109734,,,79601,32.4487364,-99.7331439,Dallas - Fort Worth,US,Abilene
235,The Grand Theater,4339342,,,,,,Madison,US,Wausau
236,Green Bay Distillery,1617263,,835 Mike McCarthy Way,54304,44.49611,-88.05758,Ashwaubenon,US,Ashwaubenon
237,The State Theatre of Ithaca,4390,1611.0,107 W. State St.,14850,42.43953,-76.49936,Rochester,US,Ithaca
238,State Theatre of Ithaca - (gmt-05:00) Eastern Time (us & Canada),4343069,,107 West State St.,14850,42.43926,-76.49959,Rochester,US,Ithaca
239,State Theatre Marquee,2356404,,107 W. State St.,14850,42.4395124,-76.4993622,Rochester,US,Ithaca
240,Hard Rock Live - Orlando,38516,,6050 Universal Blvd.,32819,28.4737,-81.46734,Orlando,US,Orlando
241,"Jarson Kaplan Theater, Aronoff Center",527736,,650 Walnut St.,45202,39.1035457,-84.5117207,Cincinnati,US,Cincinnati
242,Aronoff Center-jarson Kaplan Theater,4162744,,,45202,39.1032,-84.50649,Cincinnati,US,Cincinnati
243,Intersection,32963,,133 Grandville Sw,49503,42.960082,-85.674089,Grand Rapids,US,Grand Rapids
244,Intersection,63215,,,,,,SF Bay Area,US,San Francisco
245,The Stache at the Intersection,2194624,,133 Grandville Ave. SW,49503,42.96008,-85.67409,Grand Rapids,US,Grand Rapids
246,Elevation @ the Intersection,3985879,,,49503,42.96167,-85.6589,Grand Rapids,US,Grand Rapids
247,"The Intersection, Front Lounge",706496,,"133 Grandville Ave., S.W",49503,42.960082,-85.674089,Grand Rapids,US,Grand Rapids
248,Intersection for the Arts,1497338,,925 Mission Street @ Fifth Street,94114,37.7790595,-122.4018195,SF Bay Area,US,San Francisco
249,Intersection - the Mint,3978779,,,49503,42.96167,-85.6589,Grand Rapids,US,Grand Rapids
250,Intersection,95668,,,,,,Nashville,US,Nashville
251,Intersection,97482,,,,,,Spring Lake,US,Spring Lake
252,Art Intersection,3405074,,"207 North Gilbert Road, Suite 201",85234,33.35384,-111.78934,Mesa,US,Gilbert
253,The Intersection,1954154,,Strauss Park - 3534 Washington Ave.,63103,38.638602,-90.230997,St Louis,US,St Louis
255,The Intersection,3228954,,905 North McDonald Road,99216,47.6672203,-117.2289502,Spokane,US,Spokane
256,Warehouse District Parking Lot (intersection at W.6th & St. Clair),3345129,,1371 West 6th Street,44113,41.49932,-81.697846,Cleveland,US,Cleveland
257,Intersection of Kellogg & Robert,2997263,,,,44.9537029,-93.0899578,Twin Cities,US,St. Paul
258,Intersection of Harrison & Church Street,1454833,,Intersection of Harrison & Church Street,46001,40.2635789,-85.6744452,Alexandria,US,Alexandria
259,"Intersection BBQ, Bar & Grill",2700213,,206 Virginia Street,83654,44.8941724,-116.0928011,Mccall,US,Mccall
260,"intersection, 3rd & Bridger",4237049,,S 3rd St & E Bridger Ave,89101,36.16789,-115.14446,Las Vegas,US,Las Vegas
262,The Intersection,3752204,,,,35.9606384,-83.9207392,Knoxville,US,Knoxville
263,The Intersection Of,3002699,,,92103,32.749789,-117.1676501,San Diego,US,San Diego
264,Elevations at The Intersection,3825474,,,,,,Grand Rapids,US,Grand Rapids
266,"The Music Box, Borgata Hotel & Casino",28810,,1 Borgata Way,08401,39.3770706,-74.4345188,Philadelphia,US,Atlantic City
270,The Music Box,2431729,,907 S Madison Street,79101,35.204858,-101.844937,Amarillo,US,Amarillo
271,The Music Box,3632004,,147 Creek Rd,05826,44.6287754,-72.2146963,Montpelier,US,Greensboro
274,The Music Box,1666353,,4701 Troost,64110,39.0415035,-94.572841,Kansas City,US,Kansas City
275,"The Music Box (Craftsbury, VT)",3966834,,,,,,Barre,US,St. Johnsbury
277,Fonda Theatre,187523,1300.0,6126 Hollywood Blvd.,90028,34.1012695,-118.3232478,Los Angeles,US,Hollywood
278,The Music Box Theater,2962198,,2623 Colquitt,77098,29.7346159,-95.4192637,Houston,US,Houston
280,Nectar Lounge,11589,450.0,412 N. 36th St.,98103,47.6521845,-122.3538836,Seattle,US,Seattle
281,"Nectar Lounge, Seminole Casino Coconut Creek",766521,,5550 NW 40th St.,33073,26.2783398,-80.1996556,Fort Lauderdale,US,Coconut Creek
282,Minnesota State Fair,3086064,,1372 Cosgrove Street,,44.98218,-93.16794,Twin Cities,US,Falcon Heights
283,"Dino's Gyros Stage, Minnesota State Fair",1989699,,,,,,Twin Cities,US,Minneapolis
284,Saint Rocke,31270,280,142 Pacific Coast Hwy.,90254,33.8561736,-118.3904234,Los Angeles,US,Hermosa Beach
285,Shubert Theatre,2198104,,247 College Street,06510,41.30649,-72.92896,Bridgeport,US,New Haven
286,"Shubert Theatre, Boch Center",239453,,265 Tremont Street,02116,42.3504,-71.0654,Boston / Cambridge,US,Boston
287,Little Shubert Theatre,182838,,,,,,New York,US,New York
288,Shubert Theatre,49230,,,,,,Philadelphia,US,Philadelphia
289,Shubert Theatre-ma,4013389,,,02116,42.35307,-71.07652,Boston / Cambridge,US,Boston
290,Shubert Theatre,634086,,,,,,Chicago,US,Chicago
291,"Winspear Opera House, AT&T Performing Arts Center",800466,,2403 Flora St.,75206,32.791313,-96.7986094,Dallas - Fort Worth,US,Dallas
292,Margot and Bill Winspear Opera House,4040269,,,75201,32.78633,-96.79625,Dallas - Fort Worth,US,Dallas
293,Scranton Cultural Center,4788,,420 North Washington Avenue,18503,41.41065,-75.66066,Newark,US,Scranton
294,Harry and Jeanette Weinberg Theatre at the Scranton Cultural Center - Masonic Temple,2875268,,,18503,41.4108493,-75.6659016,Newark,US,Scranton
295,Junior Ballroom at Scranton Cultural Center - Masonic Temple,4017204,,420 N Washington Ave,18503,41.41079,-75.65999,Newark,US,Scranton
296,Grand Ballroom at the Scranton Cultural Center - Masonic Temple,3153644,,,18503,41.4108493,-75.6659016,Newark,US,Scranton
297,Cultural Arts Center,202753,,,,,,Newark,US,Scranton
298,Mass MoCA,4366,,87 Marshall St.,01247,42.7018108,-73.1146681,Springfield,US,North Adams
299,"Hunter Center, Mass MoCA",1102896,,1040 MASS MoCA Way,01247,42.70191,-73.11402,Springfield,US,North Adams
300,"The Chalet, Mass MoCA",3653234,,1040 Mass MoCA Way,,42.7022586,-73.1162555,Springfield,US,North Adams
301,"Courtyard Cafe, Mass MoCA",176003,,,,,,Springfield,US,North Adams
302,RICHMOND Co.,69036,,,,,,Augusta,US,Augusta
303,I/o,650686,,,,,,Miami,US,Miami
305,Genesee Theatre,564,,203 North Genesee Street,60085,42.3623834,-87.831289,Chicago,US,Waukegan
306,Grand Theater at Foxwoods,16384,,39 Norwich Westerly Road,06339,41.47836,-71.96309,Mashantucket,US,Mashantucket
307,"Jabbawockeez Theater, MGM Grand Hotel & Casino",3100139,,3799 Las Vegas Blvd South,89109,36.10292,-115.16976,Las Vegas,US,Las Vegas
308,The Grand Stafford Theater,1624428,450.0,106 S Main St,77803,30.673365,-96.373783,Austin,US,Bryan
309,Choctaw Grand Theater,2996913,,4418 S Hwy 69/75,74701,34.03524,-96.36891,Durant,US,Durant
311,Gray Area / Grand Theater,594401,800.0,2665 Mission St,94110,37.75439,-122.4185,SF Bay Area,US,San Francisco
312,Medical Center of Lewisville Grand Theater,1359671,,100 N. Charles St.,75057,33.04682,-96.99737,Dallas - Fort Worth,US,Lewisville
313,Grand Theater,125416,,,,,,Philadelphia,US,Atlantic City
315,Wheaton Grand Theater,91897,,,,,,Aurora,US,Wheaton
318,Grand Theater,1682973,,26 N. 6th Street,52632,40.39726,-91.383467,Keokuk,US,Keokuk
319,"David Copperfield Theater, MGM Grand Hotel and Casino",2982413,,3799 Las Vegas Blvd South,89109,36.102875,-115.169561,Las Vegas,US,Las Vegas
320,Mesa Theater & Club,13541,,538 Main Street,81501,39.0675168,-108.5635473,Denver,US,Grand Junction
321,Mcl Grand Theater of Lewisville,3986964,,100 North Charles Street,75057,33.04682,-96.99737,Dallas - Fort Worth,US,Lewisville
324,Grand Lake Theater,63807,,,,,,SF Bay Area,US,Oakland
327,Grand Theater,127879,,,,,,Springfield,US,Branson
331,Grand Victoria Theater Elgin,2739818,,250 South Grove Avenue,60120,42.031196,-88.279213,Aurora,US,Elgin
332,Uptown Theater,809476,,120 Main St,75053,32.74569,-97.00249,Dallas - Fort Worth,US,Grand Prairie
333,The Globe Theater,971566,,241 E. Kalamazoo Ave,49007,42.294686,-85.5806527,Grand Rapids,US,Kalamazoo
337,The Grand Theater,3400504,,,,33.7489954,-84.3879824,Atlanta,US,Atlanta
338,The Grand Theater,4339342,,,,,,Madison,US,Wausau
339,Grand Palace Theater,334976,,,,,,Los Angeles,US,Valencia
340,Grand Ole Gospel Theater,840766,,,,,,Chocowinity,US,Chocowinity
341,Mesa Theater Lounge,1972684,,538 Main St.,81526,39.1077219,-108.3509714,Denver,US,Grand Junction
342,Grand County High School Theater,1548253,,,,,,Moab,US,Moab
343,Ionia Theater,315206,,203 W Main St,48846,42.9826467,-85.0642473,Grand Rapids,US,Ionia
344,Dog Story Theater,2573174,,7 Jefferson Ave SE,49503,42.9628721,-85.664318,Grand Rapids,US,Grand Rapids
345,Muiderman Theater,1955979,,1410 Elm Coulee Dr NE,58278,47.763319,-97.137808,Fargo,US,Grand Forks
346,The Epic Theater,4108299,,2960 Epic Place,75052,32.70299,-97.03024,Dallas - Fort Worth,US,Grand Prairie
347,"Wellspring Theater, Epic Center",1752968,,"359 S. Kalamazoo Mall, Suite 204",49007,42.2891992,-85.583116,Grand Rapids,US,Kalamazoo
348,Wealthy Theater Annex,2073779,,1110 Wealthy Street,49506-15,42.955368,-85.641402,Grand Rapids,US,Grand Rapids
349,"Dalton Theater, Kalamazoo College",311391,,"Light Fine Arts Blgd., 1200 Academy St.",49007,42.2913983,-85.6009984,Grand Rapids,US,Kalamazoo
350,"Mary Jane Stryker Theater, Kalamazoo Valley Museum",801696,,,,,,Grand Rapids,US,Kalamazoo
351,Detroit Opera House,2673,2700.0,1526 Broadway Street,48226,42.33601,-83.04871,Detroit,US,Detroit
352,Kalamazoo Theater,115781,,,,,,Grand Rapids,US,Kalamazoo
353,Dewitt Theater,1602143,,141 East 12th Street,49423,42.7867267,-86.1006903,Grand Rapids,US,Holland
354,Broadway Theater,297846,319.0,216 East Broadway Street,48858,43.6044401,-84.7747795,Grand Rapids,US,Mount Pleasant
355,"Rcah Theater, MSU",1617843,,C20 Snyder-Phillips Hall,48824,42.729939,-84.473062,Grand Rapids,US,East Lansing
359,Clutch Cargo's,9790,1500.0,65 East Huron Street,48342,42.6394476,-83.2903125,Detroit,US,Pontiac
360,"Cargo Concert Hall, Whitney Peak Hotel",2634548,,255 N Virginia St.,89501,39.52786,-119.81384,Reno,US,Reno
361,Clutch Cargo's,1095701,,64 West Elizabeth Street,48226,42.3380304,-83.0504877,Detroit,US,Detroit
363,iLounge @ Clutch Cargo's,857831,450.0,65 East Huron Street,48342,42.6394476,-83.2903125,Detroit,US,Pontiac
